,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2017-02-09,जॉली एलएलबी 2,4480000,1632440,140,"['Comedy', 'Crime']","A blunt, abrasive and yet oddly compassionate Jagdishwar Mishra aka Jolly, a small-time struggling lawyer who moves from Kanpur to the city of Nawabs to pursue his dream of becoming a big-time lawyer.",,['Subhash Kapoor'],"['Akshay Kumar', 'Huma Qureshi', 'Saurabh Shukla', 'Annu Kapoor', 'Sayani Gupta', 'Kumud Mishra', 'Ram Gopal Bajaj', 'Manav Kaul', 'Inaamulhaq', 'Sushil Pandey', 'Sunil Palwal', 'Rajiv Gupta']",['Star Studios'],2,['IN'],['hi'],tt5982852,6.995,101
1,2017-03-10,மாநகரம்,779000,1550000,137,"['Thriller', 'Action']",A handful of diverse characters find themselves in extraordinary situations that are interlinked with one another.,,['Lokesh Kanagaraj'],"['Sri', 'Regina Cassandra', 'Sundeep Kishan', 'Charle', 'Munishkanth', 'Madhusudhan Rao', 'R. S. Karthik', 'Vivek Prasanna', 'Karthik Yogi', 'Shah Ra', 'Rekha Suresh', 'Arun Alexander', 'Boxer Dheena', 'Pasupathi Raj']",['Potential Studios'],1,['IN'],['ta'],tt5559528,7.568,37
2,2019-05-24,The Secret Life of Pets 2,80000000,155152550,86,"['Adventure', 'Animation', 'Comedy', 'Family']","Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.",They still have their secrets.,['Chris Renaud'],"['Patton Oswalt', 'Kevin Hart', 'Eric Stonestreet', 'Jenny Slate', 'Tiffany Haddish', 'Lake Bell', 'Nick Kroll', 'Dana Carvey', 'Ellie Kemper', 'Chris Renaud', 'Harrison Ford', 'Bobby Moynihan', 'Hannibal Buress', 'Pete Holmes', 'Henry Lynch', 'Tara Strong', 'Sean Giambrone', 'Meredith Salenger', 'Michael Beattie', 'Kiely Renaud', 'Jessica DiCicco', 'Jaime Camil', 'Antonio Raul Corbo', 'Brian T. Delaney', 'Sandra Echeverría', 'Kylie Hart', 'JP Karliak', 'John Kassir', 'Scott Menville', 'Laraine Newman', 'Capri Oliver', 'Arthur Ortiz', 'Lucian Perez', 'Maddix Robinson', 'Ashley Silverman', 'Fred Tatasciore', 'Cory Walls']","['Universal Pictures', 'dentsu', 'Fuji Television Network', 'Universal Animation Studios', 'Illumination']",2,['US'],['en'],tt5113040,7.002,2582
3,2014-05-30,The System,500000,290000,142,"['Action', 'Drama', 'Crime']","Haider gets hooked by the local SHO in a mob firing case. Ultimately after getting away with this case, Haider´s life takes a drastic change. Haider now sees the bigger and bitter picture of the current system, and how it affects everybody. He decides to do something about this system, and in the process, his education, family, friends and love are at stake",,['Shahzad Ghufoor'],"['Sheraz Ghufoor', 'Kashaf Ali', 'Nadeem Beyg', 'Irfan Khoosat', 'Shafqat Cheema', 'Nayyar Ejaz', 'Mariyam Ali Hussiain', 'Ejaz Hussain Bugti', 'Rabia Tabassum', 'Sufian Bhatti', 'Saleem Shah', 'Saima Saleem', 'Saira']",['Leos Productions'],1,['PK'],['ur'],tt3740152,6.0,2
4,2021-02-24,Chaos Walking,125000000,26943020,109,['Science Fiction'],"Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality, where all inner thoughts are seen and heard by everyone.",No one escapes the noise.,['Doug Liman'],"['Daisy Ridley', 'Tom Holland', 'Mads Mikkelsen', 'Demián Bichir', 'David Oyelowo', 'Cynthia Erivo', 'Bethany Anne Lind', 'Nick Jonas', 'Ray McKinnon', 'Vincent Leclerc', 'Blane Crockarell', 'Tyrone Benskin', 'Frank Fontaine', 'Don Jordan', 'Patrick Garrow', 'Mylène Dinh-Robic', 'Julian Richings', 'Tara Nicodemo', 'Harrison Osterfield', 'Yannick Lupien', 'Jad Saikali', 'Marc Primeau', 'Michael Dyson', 'Maxwell McCabe-Lokos', 'Stephen Eric McIntyre', 'Jean Michel Paré', 'Bryce Bruckbauer']","['3 Arts Entertainment', 'Lionsgate', 'Bron Studios', 'Allison Shearmur Productions', 'Creative Wealth Media Finance', 'TIK Films', 'Quadrant Pictures', 'Hercules Film Fund']",1,"['CA', 'HK', 'LU', 'US']",['en'],tt2076822,6.696,1896
5,2017-01-23,Cartels,7000000,37766,99,"['Crime', 'Action']",An elite team of DEA agents are assigned to protect a dangerous drug lord and take refuge in a luxury hotel while they await extraction. They soon find themselves at the center of an ambush as the drug lord's former associates launch an explosive assault on the hotel.,,['Keoni Waxman'],"['Steven Seagal', 'Luke Goss', 'Georges St-Pierre', 'Bruce Crawford', 'Lauro Chartrand', 'Darren E. Scott', 'Florin Piersic Jr.', 'Martine Argent', 'Claudiu Bleonţ', 'Howard Dell', 'Adina Galupa', 'Sharlene Royer', 'George Ramos', 'Bogdan Farcaș', 'Massimo Dobrovic']","['Action House', 'Daro Film Distribution', '24TL Productions']",1,"['RO', 'US']",['en'],tt4949290,5.43,43
6,2016-10-26,Auto Shop of Horrors,1200,4300,86,"['Comedy', 'Horror']","A mentally disturbed car mechanic, with a deep fascination of Aztec culture, is convinced that if he consumes enough human eyeballs, he'll possess the ability to see in the future.",,"['Glenn Berggoetz', 'Tim Gallagher']","['Paul Rohrer', 'Maya Grace', 'Tim Fegan', 'Kaija Harris', 'Kasha Fauscett', 'Laura von Engeln', 'Zack Beins', 'Kentick ""Jazz"" Copeland', 'Joe Givan', 'Doug Newville', 'Peggy Bodie', 'Gary L. Priest']","['Driving With Our Eyes Shut', 'GallaFilms']",1,['US'],[],tt5142216,10.0,1
7,2016-07-14,Maligno,150000,400000,0,"['Horror', 'Mystery']",,,"['Paco Bardales', 'Martin Casapía', 'Casanova']","['Sofía Rocha', 'Fiorella Pennano', 'Gino Pesaressi', 'Sylvia Majo', 'Gonzalo Molina', 'Juan Luis Maldonado', 'Fernando Bacilio', 'Marcelo Ingunza']",['Dolby'],1,['PE'],['es'],tt5722530,6.0,20
8,2016-08-25,S.W.A.G. - Episode 2: The Texas Blues,42,1,11,['Comedy'],The much anticipated sequel to S.W.A.G. - Episode 1: The King Cobra.  A high-octane neo-noir set in the near future follows two detectives looking for a name in the corrupt streets of downtown Texas.,We sure got S.W.A.G.,['Aaron Mullan'],[],"['Cheeky Boys Productions', 'S.W.A.G. Productions']",1,['GB'],['en'],,8.0,1
9,2018-08-22,The Happytime Murders,40000000,27506452,91,"['Action', 'Comedy', 'Crime']","In a world where human beings and puppets live together, when the members of the cast of a children's television show aired during the 1990s begin to get murdered one by one, puppet Phil Philips, a former LAPD detective who fell in disgrace and turned into a private eye, takes on the case at the request of his old boss in order to assist detective Edwards, who was his partner in the past.",No Sesame. All street.,['Brian Henson'],"['Melissa McCarthy', 'Bill Barretta', 'Elizabeth Banks', 'Joel McHale', 'Maya Rudolph', 'Leslie David Baker', 'Cynthy Wu', 'Michael McDonald', 'Mitch Silpa', 'Hemky Madera', 'Benjamin Royer', 'Brekkan Spens', 'Ryan Tran', 'Fortune Feimster', 'Brian Palermo', 'Damon Jones', 'Ryan Gaul', 'Jimmy O. Yang', 'Dennis Keiffer', 'Jim Palmer', 'Michael Croner', 'Barry Rothbart', 'Steve Mallory', 'Dana Schick', 'Jaye Razor', 'Jen Sung', 'Bryan Cartago', 'Brett Wagner', 'Colleen Smith', 'Ben Falcone', 'Dorien Davies', 'Kevin Clash', 'Victor Yerrid', 'Drew Massey', 'Ted Michaels', 'Brian Henson', 'Patty Guggenheim', 'Donna Kimball', 'Alice Dinnean', 'Allan Trautman']","['Huayi Brothers Pictures', 'Black Bear Pictures', 'STX Entertainment', 'On the Day', 'Henson Alternative']",1,"['CN', 'US']",['en'],tt1308728,5.727,858
