,titre,budget,recette,duree,realisateur,casting,compagnies_production,suite,Comedy,Drama,Horror,Thriller,Action,Adventure,Science Fiction,Fantasy,Family,Crime,Romance,Animation,Mystery,War,Music,Western,History,Documentary,TV Movie,benefice global,saison,casting_score_sum,casting_score_mean,casting_score_med,casting_score_min,casting_score_max,director_score_sum,director_score_mean,director_score_med,director_score_min,director_score_max,compagnies_score_sum,compagnies_score_mean,compagnies_score_med,compagnies_score_min,compagnies_score_max
0,Dumb and Dumber To,40000000,169837010,110,"['Bobby Farrelly', 'Peter Farrelly']","['Jim Carrey', 'Jeff Daniels', 'Laurie Holden', 'Rachel Melvin', 'Kathleen Turner', 'Rob Riggle', 'Tembi Locke', 'Paul Blackthorne', 'Brady Bluhm', 'Patricia French', 'Steve Tom', 'Don Lake', 'Eddie Shin', 'Atkins Estimond', 'Tommy Snider', 'Lindsay Ayliffe', 'Matthew Cardarople', 'Bill Murray', 'Grant James', 'Taylor St. Clair', ""Erin Allin O'Reilly"", 'Walt Arnett', 'Erika Bierman', 'Kassidy Claire', 'Carly Craig', 'Bryan Dilbeck', 'Dalton E. Gray', 'Michael McCrudden', 'June Shannon', 'Maia Moss-Fife', 'Jeff Sumner', 'Dave Walpole', 'Elizabeth Cooper', 'Michael Yama', 'Nancy Yee', 'Nancy Byers Farrelly', 'Derek Holland', 'Brendan Boyle', 'Swizz Beatz', 'Sean Gildea', 'Brett Wyman', 'Jo Helton', 'Edward Barbanell', 'Mariann Neary', 'John Imlay', 'Jon Barinholtz', 'Lucas Daniels', 'Carter Hicks', 'Baxter Cooper Rogers', 'Sandra Dorsey', 'Arielle Liberman', 'Jon Barry', 'Jesse Gines', ""Robin O'Neal Sorensen"", 'Chris Randall Sorensen', 'Daniel Greene', 'Will Coogan', 'Caryle Seim', 'Danny Murphy', 'Rhomyen Johnson', 'Jennifer Cocker', 'John Deifer', 'Gregory Fears', 'Abigail Gamache', 'Walter Hendrix III', 'Angela Kerecz', 'John Merical']","['New Line Cinema', 'Universal Pictures', 'Conundrum Entertainment', 'Red Granite Pictures']",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.592525,2,79,1.1791044776119404,0,0,38,27,13.5,13,13,14,135,33.75,18,0,99
1,Марс,2000000,240000,100,['Anna Melikyan'],"['Nana Kiknadze', 'Artur Smolyaninov', 'Yevgeniya Dobrovolskaya', 'Elena Morozova', 'Yana Esipovitch', 'Gosha Kutsenko', 'Aleksandra Skachkova', 'Nadezhda Kamenkovitch', 'Aleksandr Ilin', 'Gali Abaydulov', 'Владимир Кремена', 'Andrey Batukhanov']","['Central Partnership', 'Studio SLON']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88.0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
2,Captain America: The Winter Soldier,170000000,714766572,136,"['Anthony Russo', 'Joe Russo']","['Chris Evans', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Cobie Smulders', 'Frank Grillo', 'Emily VanCamp', 'Hayley Atwell', 'Robert Redford', 'Samuel L. Jackson', 'Toby Jones', 'Jenny Agutter', 'Maximiliano Hernández', 'Georges St-Pierre', 'Callan Mulvey', 'Alan Dale', 'Chin Han', 'Bernard White', 'Garry Shandling', 'Salvator Xuereb', 'Brian Duffy', ""Adetokumboh M'Cormack"", 'Christopher George Sarris', 'Aaron Himelstein', 'Allan Chanes', 'Pat Healy', 'D.C. Pierson', 'Danny Pudi', 'Bernie Zilinskas', 'Branka Katić', 'Jon Sklaroff', 'Chad Todhunter', 'Abigail Marlowe', 'Jeremy Maxwell', 'Emerson Brooks', 'Evan Parke', 'Ricardo Chacon', 'Griffin M. Allen', 'Ann Russo', 'Joe Rosalina', 'Michael Debeljak', 'Eddie J. Fernandez', 'Jody Hart', 'Steven Culp', 'Derek Hughes', 'Wendy Hoopes', 'Ethan Rains', 'Dominic Rains', 'Charles Wittman', 'Andy Martine', 'r.', 'Michael De Geus', ""Terence O'Rourke"", 'Anne Grimenstein', 'Dante Rosalina', 'Robert Clotworthy', 'June Christopher', 'Gary Sinise', 'Henry Goodman', 'Dean Barlage', 'Joel Thingvall', 'Thomas Kretschmann', 'Elizabeth Olsen', 'Nestor Serrano', 'Aaron Taylor-Johnson']",['Marvel Studios'],2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,320.4509247058824,0,459,7.061538461538461,0,0,100,128,64.0,64,64,64,81,81.0,81,81,81
3,Тот ещё Карлосон!,4000000,9938268,80,['Sarik Andreasyan'],"['Mikhail Galustyan', 'Igor Vernik', 'Mariya Semkina', 'Nonna Grishaeva', 'Andrey Fedortsov', 'Semyon Furman', 'Yevgeniy Koshevoy', 'Gosha Kutsenko', 'Aleksandr Oleshko', 'Oleg Tabakov', 'Fedya Smirnov', 'Alesya Guzko', 'Ivan Egorov', 'Stepan Yurpalov', 'Mikhail Pavlik', 'Yuliya Grishina', 'Ararat Keshchyan', 'Nikolay Serga', 'Viktor Liberov', 'Ilya Kostyukov']",['Enjoy Movies'],1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,148.45669999999998,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0
4,The Saint,68000000,118063304,116,['Phillip Noyce'],"['Val Kilmer', 'Elisabeth Shue', 'Rade Šerbedžija', 'Henry Goodman', 'Alun Armstrong', 'Michael Byrne', 'Irina Apeksimova', 'Lev Prygunov', 'Charlotte Cornwell', 'Emily Mortimer', 'Lucija Šerbedžija', 'Velibor Topic', 'Tommy Flanagan', 'Egor Pazenko', 'Adam Smith', 'Pat Laffan', 'Verity-Jane Dearsley', 'Michael Marquez', 'Lorelei King', 'Alla Kazanskaya', 'Ronnie Letham', 'Tusse Silberg', 'Peter Guinness', 'Stefan Gryff', 'Malcolm Tierney', 'Christopher Rozycki', 'Valeriy Nikolaev', 'Roger Moore', 'Evgeniy Lazarev']","['Paramount', 'Mace Neufeld Productions', 'Rysher Entertainment']",1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,73.62250588235294,0,25,0.8620689655172413,0,0,8,11,11.0,11,11,11,9,3.0,0,0,9
5,See No Evil,8000000,18707966,84,['Gregory Dark'],"['Glenn Jacobs', 'Christina Vidal', 'Luke Pegler', 'Craig Horner', 'Rachael Taylor', 'Jason Chong', 'Michael J. Pagan', 'Samantha Noble', 'Steven Vidler', 'Penny McNamee', 'Cory Robinson', 'Sam Cotton', 'Zoe Ventoura', 'Mikhael Wilder', 'Cecily Polson', 'Tiffany Lamb', 'Trent Huen', 'Matthew Okine', 'Annalise Woods', 'Beau Billingslea']","['Lions Gate Films', 'WWE Studios']",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.84957500000002,0,5,0.25,0,0,5,0,0.0,0,0,0,0,0.0,0,0,0
6,Brother Bear,128000000,250397798,85,"['Aaron Blaise', 'Robert Walker']","['Joaquin Phoenix', 'Jeremy Suarez', 'Jason Raize', 'Rick Moranis', 'Dave Thomas', 'D.B. Sweeney', 'Joan Copeland', 'Michael Clarke Duncan', 'Harold Gould', 'Paul Christie', 'Danny Mastrogiorgio', 'Estelle Harris', 'Greg Proops', 'Pauley Perrette', 'Bumper Robinson', 'Angayuqaq Oscar Kawagley', 'Sherry Lynn', 'Mickie McGowan', 'Debi Derryberry', 'Patrick Pinney']",['Walt Disney Feature Animation'],1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,95.6232796875,2,24,1.2,0,0,12,0,0.0,0,0,0,0,0.0,0,0,0
7,Cursed,35000000,19294901,97,['Wes Craven'],"['Christina Ricci', 'Jesse Eisenberg', 'Milo Ventimiglia', 'Judy Greer', 'Portia de Rossi', 'Joshua Jackson', 'Mýa', 'Shannon Elizabeth', 'Kristina Anapau', 'Daniel Edward Mora', 'Jonny Acker', 'Eric Ladin', 'Derek Mears', 'Nick Offerman', 'Ken Rudulph', 'El Solar', 'Michelle Krusiec', 'Scott Baio', 'Shashawnee Hall', 'Craig Kilborn', 'Emilie Odeile', 'Lance Bass', 'Egan Friedlander', 'Randolph LeRoi', 'Brian Boone', 'Gary Dubin', 'Chris Johnson', 'Wilmer Calderon', 'Brett Rickaby', 'Doug Berry', 'Erik Rodham Clinton', 'Brandon Cox', 'Jason Cox', 'Jason Dottley', 'John Embry', 'Jason Aaron Goldberg', 'Tanja Kindler', 'Bill Mehlem', 'Jason Pierce', 'Johnny Ray', 'Jaret Reddick', 'Joseph D. Reitman', 'Michael Rosenbaum', 'Brian Rueter', 'Christopher Van Malmsteen', 'Gary Wiseass', 'Rachel Zeskind']","['Craven-Maddalena Films', 'Outerbanks Entertainment', 'Dimension Films', 'Kalis Productions GmbH & Co. Zweite KG']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44.87171142857142,3,32,0.6808510638297872,0,0,16,8,8.0,8,8,8,11,2.75,1,0,8
8,Ghosts of Mars,28000000,14010832,98,['John Carpenter'],"['Wanda De Jesus', 'Jason Statham', 'Rosemary Forsyth', 'Natasha Henstridge', 'Clea DuVall', 'Liam Waite', 'Ice Cube', 'Pam Grier', 'Joanna Cassidy', 'Richard Cetrone', 'Lobo Sebastian', 'Rodney A. Grant', 'Peter Jason', 'Duane Davis', 'Doug McGrath', 'Rick Edelstein', 'Rex Linn', 'Michael Krawic', 'Robert Carradine', 'Eileen Weisinger', 'Marjean Holden', 'Matt Nolan', 'Charlotte Cornwell', 'Danielle Burgio', 'Lena Milan', 'Christopher Allen Nelson']","['Screen Gems', 'Storm King Productions', 'Animationwerks']",1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-49.96131428571429,1,62,2.3846153846153846,0,0,34,2,2.0,2,2,2,8,2.6666666666666665,0,0,8
9,Beauty and the Beast,25000000,424967620,84,"['Gary Trousdale', 'Kirk Wise']","[""Paige O'Hara"", 'Robby Benson', 'Richard White', 'Jerry Orbach', 'David Ogden Stiers', 'Angela Lansbury', 'Rex Everhart', 'Jesse Corti', 'Bradley Pierce', 'Hal Smith', 'Jo Anne Worley', 'Mary Kay Bergman', 'Kath Soucie', 'Alvin Epstein', 'Tony Jay', 'Brian Cummings', 'Alec Murphy', 'Kimmy Robertson', 'Frank Welker', 'Alex Murphy', 'Sherry Lynn', 'Mickie McGowan', 'Jack Angel', 'Bruce Adler', 'Scott Barnes', 'Vanna Bonta', 'Maureen Brennan', 'Liz Callaway', 'Philip L. Clarke', 'Margery Daley', 'Jennifer Darling', 'Albert de Ruiter', 'George Dvorsky', 'Bill Farmer', 'Bruce Fifer', 'Johnson Flucker', 'Larry Hansen', 'Randy Hansen', 'Mary Ann Hart', 'Phyllis Kubey', 'Hearndon Lackey', 'Larry Moss', 'Panchali Null', 'Wilbur Pauley', 'Jennifer Perito', 'Caroline Peyton', 'Patrick Pinney', 'Cynthia Richards-Hewes', 'Phil Proctor', 'Stephen Sturk']","['Walt Disney Pictures', 'Silver Screen Partners IV', 'Walt Disney Feature Animation']",1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1599.87048,2,16,0.32,0,0,6,20,10.0,10,8,12,83,27.666666666666668,0,0,83
